cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed,clean
Ugx-7AW0k0MxqavZUMh4AaABAg,"I feel for the dad, he lost a beautiful daughter",vor 1 Jahr,@wilhelmvon3834,UCgvVv70tD8FEoofamIFeJvQ,132,,https://yt3.ggpht.com/ytc/AIdro_nRIlyrBfEowqtsQWVVLFEbz5J3RxDf3-K0wIa7mMk=s88-c-k-c0x00ffffff-no-rj,False,False,1731410529.842511,i feel for the dad he lost a beautiful daughter
UgzKmLjPTCBINQbYUQl4AaABAg,The fact the father has accepted her passing and understands the AI is just a different digital form that helps with his comfort is good. The problem with this tech is not everyone will see it this way,vor 1 Jahr,@sia.b6184,UCA9lsW-l5pXfitJWnWaCaKw,1002,20,https://yt3.ggpht.com/ytc/AIdro_m7vvjNchNcvsqB_HbqBbPYfOXDtfrEP4pkhBV1KkbfSGt5=s88-c-k-c0x00ffffff-no-rj,False,False,1731410529.848486,the fact the father has accepted her passing and understands the ai is just a different digital form that helps with his comfort is good the problem with this tech is not everyone will see it this way
UgzU_8Ta6Yygg_uwp4B4AaABAg,"Our loved ones are IRREPLACEABLE.  It is the warmth, the hugs, the smells, the smiles, the sadness, the laughter, and the touches that can NEVER be replaced by machines.",vor 1 Jahr,@CC-kl4nh,UCE60NSZzfHXBd29yu1GSBZw,176,,https://yt3.ggpht.com/ytc/AIdro_nXyQNWZ0-_OjO80A1KjHCAz0yk4Zbf4UWZ3BK1vSg=s88-c-k-c0x00ffffff-no-rj,False,False,1731410529.853903,our loved ones are irreplaceable it is the warmth the hugs the smells the smiles the sadness the laughter and the touches that can never be replaced by machines
UgzafSriAZQ3ZAimBFF4AaABAg,"For me, one must learn to let go no matter how much we love that person….",vor 1 Jahr,@GlobalPenguin2012,UCcd9B7H9cTGiF-4TYih23lQ,1528,46,https://yt3.ggpht.com/ytc/AIdro_nOdXuTEE2ot0di0VJKiL1Hnkn80TtSUTAUkwH19lU-xg=s88-c-k-c0x00ffffff-no-rj,False,False,1731410529.85784,for me one must learn to let go no matter how much we love that person…
UgyohVFk8QS-epf8VuZ4AaABAg,I just can’t. This is too depressing,vor 1 Jahr,@jocho9389,UCp_WG6LcRbW-cp6JeFnSx_A,339,8,https://yt3.ggpht.com/ytc/AIdro_n_AWEuNJ_IJ9lB-rCfyKOnwBC_nh6BIqKm_-m3xHA=s88-c-k-c0x00ffffff-no-rj,False,False,1731410529.860801,i just can’t this is too depressing
UgzwFED9QOK2Oc088dJ4AaABAg,this is how they will get me to pay taxes even when i'm dead,vor 1 Jahr,@bradfordjhart,UCsy16upQ7dfDvBppFRtEanA,197,4,https://yt3.ggpht.com/ytc/AIdro_lotwq9kZ-zhxXUPYTHDURWd2bPVUP7N6Lmrz_CAiHeSQgwSE_79junSbEt4Q9YRbEFbA=s88-c-k-c0x00ffffff-no-rj,False,False,1731410529.863769,this is how they will get me to pay taxes even when im dead
Ugz3Z6WtyDPPHLUwGX14AaABAg,The father recognizes the passing of her daughter..that‘s commendable and brave. His creation is also great…i hope the future users will also see it that way.,vor 1 Jahr,@christianfortunaable,UCWvkyL7OughOWh0gvrQ5BrA,48,,https://yt3.ggpht.com/ytc/AIdro_ntxjmjb06xJ74_-sqADieaQxvMVxjnve3VikZbLkQV2Q=s88-c-k-c0x00ffffff-no-rj,False,False,1731410529.868054,the father recognizes the passing of her daughterthat‘s commendable and brave his creation is also great…i hope the future users will also see it that way
Ugxk5kg08gsIQaUHq8p4AaABAg,I can`t do this. It would hurt me more.,vor 1 Jahr,@F14Tomcatlover-o2v,UCt1RAZJoMXT1OUAG5KrsOVg,76,,https://yt3.ggpht.com/ytc/AIdro_mM3p2Hkq2OCXkR3lzzdJaILTGFm9X7tGiMiJVwD_MDWqsG_80Tw6WF46XksxNlQR1NQQ=s88-c-k-c0x00ffffff-no-rj,False,False,1731410529.872111,i cant do this it would hurt me more
UgwBPoY09c1E3WA390R4AaABAg,"I’ve started doing the same. Recording some of my parents voices and my own voices for my kids. I just wanted to have some memories, but now it can be so much more.",vor 1 Jahr,@JamesYeang,UCI2t07_-arOIoNar5UDfgng,44,,https://yt3.ggpht.com/ytc/AIdro_mHkWL2bM7tuFz-IJNPRfyjixba-oCLtRy3HUf_2oTPk_tW=s88-c-k-c0x00ffffff-no-rj,False,False,1731410529.87609,i’ve started doing the same recording some of my parents voices and my own voices for my kids i just wanted to have some memories but now it can be so much more
Ugwn-tiMTQz-TiA2ICd4AaABAg,If you scratch a wound it will never heal,vor 1 Jahr,@samilsam,UCRQRwVkzxfjqkmZQqoMT5ng,35,,https://yt3.ggpht.com/sqfoiic50wzZiw92pcnkVa4v2MgYl3CVhjmSA-hFo9u4N6fLIfTPzYvTPy4Yk4UnqaXywUP1Sg=s88-c-k-c0x00ffffff-no-rj,False,False,1731410529.879694,if you scratch a wound it will never heal
Ugwj8yqMjsnee9zWx8l4AaABAg,This is the Black Mirror episode - “be right back”😳,vor 1 Jahr,@Enokak,UCZOvjoeR_yYItAWrOxJyaUg,318,21,https://yt3.ggpht.com/ytc/AIdro_ljTNeLjHJwQExs8KEJ840Tk5bIP4gfO6IONNfOuanuNh8=s88-c-k-c0x00ffffff-no-rj,False,False,1731410529.882601,this is the black mirror episode “be right back”😳
UgyTGx-ZMaKhRWAMiXd4AaABAg,I want an AI version of myself so i can annoy my family and all of my future relatives for all eternity  😂,vor 1 Jahr,@pmcpegasus,UC8lDJUKL9etqeCw_3Zssw8w,15,,https://yt3.ggpht.com/LI5czKJ3Stm9vFmPinYnwM3fS6Sx0fd3-SMQWdCCm54zi-XSUCBjDR3bejv80xDZhINKkEpCrTQ=s88-c-k-c0x00ffffff-no-rj,False,False,1731410529.88754,i want an ai version of myself so i can annoy my family and all of my future relatives for all eternity 😂
