cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed,clean,topic,sent_label,sent_score
UgwgMQZ6CA874N3AwRJ4AaABAg,"This film explores these questions with visionaries including Nick Bostrom, author of Superintelligence, Hiroshi Ishiguro, developer of his own uncannily realistic clone Geminoid; Douglas Rushkoff, author of Team Human; Ben Goertzel, founder of Singularity.net who coined the term Artificial General Intelligence; and Deepak Chopra, who is creating his own A.I. mind twin. These visionaries see humanity advancing toward a new age of post-biological life, a world of intelligence without bodies, immortal identity without the limitations of disease, death, and unfulfilled desire. As scientists at the forefront of technology show that a world where humans and machines merge isn’t so far away, we have to ask ourselves will AI be the best or the last thing we ever do?",vor 2 Jahren,@ENDEVRDocs,UCuw0GgMlZlAsWvpI8PgCN8g,130,44,https://yt3.ggpht.com/ytc/AIdro_njolthD8WHPmujl2x58aw29y5cyNPyd7lHmWXkiQTwkWI=s88-c-k-c0x00ffffff-no-rj,False,False,1699701503.813074,this film explores these questions with visionaries including nick bostrom author of superintelligence hiroshi ishiguro developer of his own uncannily realistic clone geminoid douglas rushkoff author of team human ben goertzel founder of singularitynet who coined the term artificial general intelligence and deepak chopra who is creating his own ai mind twin these visionaries see humanity advancing toward a new age of postbiological life a world of intelligence without bodies immortal identity without the limitations of disease death and unfulfilled desire as scientists at the forefront of technology show that a world where humans and machines merge isn’t so far away we have to ask ourselves will ai be the best or the last thing we ever do,0,anticipation,0.905893862247467
UgzBGB6UFzICQP6If-l4AaABAg,Who wants to live forever ? Not me in this world.,vor 2 Jahren,@brendacunningham-sz1zr,UC6U28Z2vUrHwgQ-pL_Qn1ww,1068,220,https://yt3.ggpht.com/ytc/AIdro_m2g__-AwGH6u1SreUmeLJsbDUdg8YZ10Q5tzJdqWSe_Y4L-l6LGvHa66Ro1s_bmfGeFw=s88-c-k-c0x00ffffff-no-rj,False,False,1699701503.814173,who wants to live forever not me in this world,1,sadness,0.83280348777771
UgylguIQF_bZAUalrSN4AaABAg,This feels very much like that episode from the black mirror,vor 2 Jahren,@dan_youtube,UCnQ0_LNIIP0pCmceiBVA8vw,68,7,https://yt3.ggpht.com/ytc/AIdro_kPoBMt2V6qDj3IJM3FlLlY51OWGc-VAP7hvZTC3tTGoFU=s88-c-k-c0x00ffffff-no-rj,False,False,1699701503.815063,this feels very much like that episode from the black mirror,3,anticipation,0.49002352356910706
UgxrrwWEj0-8o7FzUZh4AaABAg,"I don't understand why we make life for ourselves now so much harder than it needs to be, trying to rush towards a future we can't even see.
So often it feels like it's too much, like I can't do another day. The only thing that still pushes me forward is the people I care about around me.",vor 2 Jahren,@ScarletSky03,UCiGGZs_Phgpk-3iItJbxPHA,554,37,https://yt3.ggpht.com/ytc/AIdro_nxWwdxSFINiLEbu4_h6JvLcvDhYuncMxrSC7HIs1tvxrQ=s88-c-k-c0x00ffffff-no-rj,False,False,1699701503.817285,i dont understand why we make life for ourselves now so much harder than it needs to be trying to rush towards a future we cant even see so often it feels like its too much like i cant do another day the only thing that still pushes me forward is the people i care about around me,-1,sadness,0.9778270125389099
UgyKL1RN15SKBFFiB6d4AaABAg,"My husband made many YouTube videos before he passed and while I love to occasionally click on to hear his voice, most time it makes me feel sad to listen because I miss him so much! I believe grieving and letting go is a healthy part of life and being able to move on. Making these avatars for your children may do more harm than good !",vor 2 Jahren,@kimberlythomas2296,UCbErFW-5L2QefSQkZxMSW-g,148,9,https://yt3.ggpht.com/ytc/AIdro_m-r6eCKsQ5vujeqKiee4rv4CfXDflZ6prhXMEmWPepOEo=s88-c-k-c0x00ffffff-no-rj,False,False,1699701503.818215,my husband made many youtube videos before he passed and while i love to occasionally click on to hear his voice most time it makes me feel sad to listen because i miss him so much i believe grieving and letting go is a healthy part of life and being able to move on making these avatars for your children may do more harm than good,14,sadness,0.9946768283843994
UgxkHAAEK88Rgdmj-td4AaABAg,"A couple of years ago, I had this dream where I was coming back home at night during winter. I recall walking alone down the quiet streets while it was snowing. As soon as I arrived home, I saw my mother cooking some dinner. However, I was older, which means that she wasn't alive at that time. It was then that I realized she was a robot; it had some cables at the back of its head. Overwhelmed with emotion, I started to cry as I hugged the robot, remembering that my real mother had died. It was an eerie dream, and I'm convinced it's not too far from reality, as robots will never truly replace humans in emotional connections.",vor 1 Jahr (bearbeitet),@deividcastro4370,UC96gPki14kfvM3p5uRpjfoA,7,1,https://yt3.ggpht.com/ytc/AIdro_n498Z9CB-AkLv4yXJJeMiOJU8auasxRl6h8GXYFR3MAQQ=s88-c-k-c0x00ffffff-no-rj,False,False,1731323903.819346,a couple of years ago i had this dream where i was coming back home at night during winter i recall walking alone down the quiet streets while it was snowing as soon as i arrived home i saw my mother cooking some dinner however i was older which means that she wasnt alive at that time it was then that i realized she was a robot it had some cables at the back of its head overwhelmed with emotion i started to cry as i hugged the robot remembering that my real mother had died it was an eerie dream and im convinced its not too far from reality as robots will never truly replace humans in emotional connections,0,joy,0.979661226272583
Ugwbnhp6aOMOlNaKtnF4AaABAg,"People can't even deal with the short life they have, but they want to live forever in some digital world.",vor 2 Jahren,@rickkrockstar,UCxoKiqbwK2C5DKIlcTfgpNQ,253,25,https://yt3.ggpht.com/-b29oFsyFadjREx7MZqe9dyLJG5DRSAWESxVCnQdSzEnjtfhBYfpzNdObJn16q5ZHS59ncFEMw=s88-c-k-c0x00ffffff-no-rj,False,False,1699701503.820355,people cant even deal with the short life they have but they want to live forever in some digital world,0,disgust,0.9787903428077698
UgxELuDhwbvPGp7pX094AaABAg,The brain is designed to forget. If it took in every piece of information and remembered it we'd go insane.,vor 2 Jahren,@somerandomfella,UCvxQosFlLCx81-IwQ2ooPlQ,121,11,https://yt3.ggpht.com/EMihCDejgR9L_AyiDnuLwFz9tRZGf6STjblgWnfNOSJ2bQ8xu9j30DXIgO31u1UJ4mtIlhjTKQ=s88-c-k-c0x00ffffff-no-rj,False,False,1699701503.82138,the brain is designed to forget if it took in every piece of information and remembered it wed go insane,0,anticipation,0.41472485661506653
UgwovbqdwAwb797Tm1p4AaABAg,"IDK why, but I was brought nearly to tears towards the ending of the video.  I guess it's because of all the advancements in tech, despite all that, ""what will be, will be""...and that what's truly important is not what the future holds, but the moments we have with those closest to us in the present time.",vor 2 Jahren,@lmoral222,UC4EmwaeL_nnKR2RxYvrzLtg,181,7,https://yt3.ggpht.com/ytc/AIdro_mL1dcnRV_oSx6YQuNhJ9gq2sK2qtPBX9_GAdSCJnEjxCI=s88-c-k-c0x00ffffff-no-rj,False,False,1699701503.822349,idk why but i was brought nearly to tears towards the ending of the video i guess its because of all the advancements in tech despite all that what will be will beand that whats truly important is not what the future holds but the moments we have with those closest to us in the present time,3,sadness,0.9559768438339233
UgzA0mwB9xBWYKur2EN4AaABAg,"I viewed this from a purely journalistic perspective; an amazing story which requires deeper investigation. Ann achieved that goal beautifully. Well researched, well written, and the production value was excellent. In the end, it did what any great documentary should do. It left we the viewers to decide for ourselves. Well done Ann.",vor 1 Jahr,@cletehelton5618,UCJuuHj1kzSp6hvVRoMYMNdQ,8,1,https://yt3.ggpht.com/ytc/AIdro_mPbzGsuPgIciUlCt21-3O7uHsBo-mT0hL08mXfKTo91GI=s88-c-k-c0x00ffffff-no-rj,False,False,1731323903.823313,i viewed this from a purely journalistic perspective an amazing story which requires deeper investigation ann achieved that goal beautifully well researched well written and the production value was excellent in the end it did what any great documentary should do it left we the viewers to decide for ourselves well done ann,3,joy,0.9957975149154663
Ugw6SFqxUptATMxY4EB4AaABAg,"I actually managed to watch this to the end, and I truly enjoyed this! She did wonderful with this!",vor 2 Jahren,@aleciamae,UCzY1jEyDN7t0IYtf8kf1ARQ,7,,https://yt3.ggpht.com/ytc/AIdro_nJ3qGXTT3NdaMnGLYwyjFxaDPvlGyHzzLcWPCMbeUG5nk=s88-c-k-c0x00ffffff-no-rj,False,False,1699701503.824263,i actually managed to watch this to the end and i truly enjoyed this she did wonderful with this,-1,joy,0.9981750249862671
